               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08468,              0.0294,                   0,            0.012009,                   1,             0.18493,             0.04121,            0.022433,            0.015709,                   0,              0.0928,              0.0008,              0.0008
                   1,            0.046673,            0.024416,                   0,            0.030649,             0.14642,            0.021848,           0.0059596,            0.041408,            0.042788,                   0,            0.084683,           0.0016832,           0.0016832
                   2,            0.044971,              0.0218,                   0,            0.075191,             0.49533,            0.064418,             0.01333,            0.036605,             0.14557,                   0,            0.076549,           0.0025485,           0.0025485
                   3,            0.037373,            0.017859,                   0,            0.031188,             0.77882,            0.029746,           0.0094644,            0.038766,              1.1883,                   0,            0.068396,            0.003396,            0.003396
                   4,            0.046062,            0.015673,                   0,            0.015854,                   1,             0.01606,           0.0069995,            0.038758,              62.849,                   0,            0.060226,           0.0042258,           0.0042258
                   5,            0.034302,            0.015655,                   0,                   0,                   0,                   0,                   0,            0.037031,                 nan,                   0,            0.052038,           0.0050376,           0.0050376
                   6,            0.035722,            0.015537,                   0,                   0,                   0,                   0,                   0,            0.037055,              2.1902,                   0,            0.043832,           0.0058317,           0.0058317
                   7,            0.034247,            0.015069,                   0,                   0,                   0,                   0,                   0,            0.039509,             0.88509,                   0,            0.035608,            0.006608,            0.006608
                   8,            0.033744,            0.015053,                   0,                   0,                   0,                   0,                   0,            0.035741,               24.22,                   0,            0.027366,           0.0073664,           0.0073664
                   9,            0.034383,            0.014224,                   0,           0.0032782,             0.97819,           0.0033037,           0.0013131,            0.042168,              40.074,                   0,            0.019107,            0.008107,            0.008107
                  10,            0.029395,            0.012849,                   0,           0.0011734,             0.35202,          0.00083845,          0.00011549,            0.039742,              23.922,                   0,             0.01083,           0.0088298,           0.0088298
                  11,            0.029128,            0.011803,                   0,           0.0061505,             0.34891,           0.0047459,           0.0013904,            0.028732,              1.5721,                   0,            0.008911,            0.008911,            0.008911
                  12,            0.023898,            0.011751,                   0,             0.12434,             0.92523,             0.26062,             0.11611,            0.013976,             0.15261,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.029413,            0.011261,                   0,             0.14641,             0.42158,             0.13459,            0.063692,            0.015159,            0.081278,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.025614,            0.011412,                   0,              0.7472,             0.90235,             0.80733,             0.28561,            0.016269,            0.025927,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.026567,             0.01218,                   0,             0.81227,             0.98131,              0.9201,              0.5683,           0.0080965,            0.011241,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.022755,            0.011043,                   0,             0.98746,             0.98121,             0.99245,             0.51364,            0.013849,            0.013156,                   0,            0.008515,            0.008515,            0.008515
                  17,             0.02083,            0.011382,                   0,              0.9074,                   1,             0.97633,             0.56276,            0.012008,            0.016708,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.026096,            0.010552,                   0,             0.92792,             0.99688,             0.98556,             0.77138,           0.0079006,            0.010463,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.025298,            0.010371,                   0,             0.97271,             0.98131,             0.99312,             0.79417,           0.0062581,           0.0082747,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.024911,           0.0097745,                   0,             0.99951,                   1,               0.995,             0.76108,           0.0058233,           0.0058082,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.024797,           0.0096516,                   0,             0.99942,                   1,               0.995,              0.4836,            0.013194,           0.0080039,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.019643,           0.0096914,                   0,              0.9875,              0.9844,             0.99466,             0.77973,           0.0067115,           0.0063702,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.021455,            0.009889,                   0,             0.99611,                   1,               0.995,              0.8124,           0.0054057,           0.0057154,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.016462,           0.0097972,                   0,                   1,             0.98561,               0.995,             0.79812,           0.0057145,           0.0068152,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.023934,            0.010417,                   0,             0.99977,                   1,               0.995,             0.74545,           0.0076532,            0.005263,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.020905,           0.0097203,                   0,             0.99908,                   1,               0.995,             0.74431,           0.0079289,           0.0068207,                   0,            0.007525,            0.007525,            0.007525
